
                          go的内建函数

函数名         说明                           备注

colse         关闭通道                    用于channel
delete        从map中删除实例             map操作
len           返回字符串切片和数组的长度    可用于不同的类型
cap           返回容量                    可用于不同的类型
new           内存分配                    用于各种类型
make          内存分配                    仅用于 chan、slice（切片）、map、
copy          复制slice                   slice操作
append        追加slice                   slice操作
panic         报告运行时问题               异常处理机制
recover       处理运行时问题               异常处理机制
print         内建打印函数                 主要用于不引入fmt的时候的调试 实际使用时建议使用标准库 fmt
Println       内奸打印函数                 主要用于不引入fmt的时候的调试 时间使用时建议使用标准库 fmt
complex       构造复数类型                 复数操作
real          抽出复数的实部               复数操作
imag          抽出复数的虚部               复数操作
